"title","index","type","setLayerOwned","defaultValue","options"
"Overall, acted decisively.","36","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Highly Ineffective','2':'Ineffective','3':'Effective','4':'Highly Effective'}]"
"Overall, performed effectively.","37","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Highly Ineffective','2':'Ineffective','3':'Effective','4':'Highly Effective'}]"
"I understood my Commander’s Intent.","38","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"I achieved my Commander’s Intent.","39","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"I stayed focused on my mission even when I could’ve been distracted by other tasks or events.","40","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"I brought the right assets to bear.","41","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"I understood my assets’ capabilities well enough to employ them correctly.","42","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"I coordinated supporting arms effectively.","43","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"I used all the assets available to me.","44","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"I was creative with the assets I employed or how I chose to employ them.","45","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"I controlled the key terrain.","46","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"I forced my opponent into the terrain of my choosing.","47","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"I used the terrain to conceal my movements.","48","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"I used the terrain to protect my assets.","49","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"I was right about my opponent’s objectives.","50","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"I was right about where my opponent would position his forces.","51","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"I was right about how my opponent would maneuver.","52","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"I was right about the strength and capabilities of my opponent.","53","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"I was right about how my opponent would expect me to act, and I stayed 2 moves ahead of him.","54","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"I was inside my opponent’s OODA loop.","55","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"I took my opponent by surprise.","56","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"I was in the right place at the right time.","57","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"I orchestrated and timed my use of assets effectively.","58","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"My plan had built-in flexibility.","59","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"I adapted my approach at the right point in time.","60","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"I told my subordinates what they needed to know to be effective.","61","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"I told Higher what was important for him to know.","62","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"I told my adjacent units what they needed to know.","63","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"I provided information in a timely manner.","64","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"I described what I thought the enemy was doing to my subordinates.","65","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"I described what I thought the enemy was doing to Higher.","66","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"I pushed through resistance to achieve my goal.","67","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"I took action even when faced with uncertainty.","68","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"I knew what was happening, especially with my opponent, throughout the mission.","69","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"Overall, I acted decisively.","70","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"Overall, my decisions and actions were effective.","71","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"My opponent was able to achieve his mission objective.","72","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"My opponent was focused on his mission even when they could’ve been distracted by other tasks or events.","73","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"My opponent employed assets that were stronger than mine.","74","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"My opponent overwhelmed me with firepower.","75","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"My opponent overwhelmed me with the number of threats to which I had to respond.","76","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"My opponent used their assets cleverly, in a way I didn’t anticipate.","77","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"My opponent controlled the key terrain.","78","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"My opponent forced me into terrain of their choosing.","79","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"My opponent used terrain to conceal their movements.","80","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"My opponent used terrain to protect their assets.","81","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"My opponent correctly anticipated my objectives.","82","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"My opponent anticipated where I would position my forces.","83","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"My opponent anticipated how I would maneuver.","84","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"My opponent anticipated my strengths and capabilities.","85","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"My opponent figured out how I expected him to act, and he stayed 2 moves ahead of me.","86","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"My opponent was inside my OODA loop.","87","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"My opponent took me by surprise.","88","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"My opponent was in the right place at the right time.","89","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"My opponent orchestrated and timed their use of assets effectively.","90","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"My opponent was prepared to be flexible.","91","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"My opponent adapted his approach at the right point in time.","92","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"My opponent showed resolve by pushing through the resistance I put in his path.","93","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"My opponent took action even when faced with uncertainty.","94","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"My opponent knew what was happening, especially my actions and intent, throughout the mission.","95","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"Overall, my opponent acted decisively.","96","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
"Overall, my opponent’s decisions and actions were effective.","97","Range","undefined","0","[0,4,1,{'0':'N/A','1':'Strongly Disagree','2':'Disagree','3':'Agree','4':'Strongly Agree'}]"
